Category,Title,Price,Bedrooms,Floor Area,Lot Area,URL,Barangay,Town/City,Longitude,Latitude
house,Brand New Single House And Lot In BF Resort With Roof Deck And CCTV Included,11800000,4,222,96,https://www.lamudi.com.ph/brand-new-single-house-and-lot-in-bf-resort-with-r-168249319118.html,Talon Dos,Las Piñas,120.985214,14.438526
house,"2 Storey Spacious Townhouse For Sale in BF Resort Village, Las Piñas City",8800000,4,189,120,https://www.lamudi.com.ph/2-storey-spacious-townhouse-for-sale-in-bf-resort-168449004178.html,Talon Dos,Las Piñas,120.99425,14.43278
house,Reasonable price brand new single attached house in Pilar Village Las Pinas,7200000,4,128,120,https://www.lamudi.com.ph/reasonable-price-brand-new-single-attached-house-i-167888887945.html,Pilar,Las Piñas,121.00894,14.42465
house,Spectacular PRIME LOCATION Modern 3 Storey house and lot For Sale in Pilar Villa,10758000,4,216,105,https://www.lamudi.com.ph/spectacular-prime-location-modern-3-storey-house-and-lot-for-sale-in-pilar-villa-1.html,Pilar,Las Piñas,121.0080137,14.417168
house,Brand New House And Lot In Bf Resort With Modern Design,9650000,4,120,85,https://www.lamudi.com.ph/brand-new-house-and-lot-in-bf-resort-with-modern-d-168111740797.html,Talon Dos,Las Piñas,120.985214,14.438526
house,6 Bedrooms Elegantly Finished 2 Storey Single Attached House For Sale in BF Reso,18500000,6,295,180,https://www.lamudi.com.ph/6-bedrooms-elegantly-finished-2-storey-single-atta-16795510188.html,Talon Dos,Las Piñas,120.99425,14.43276
house,Elegantly Finished 2 Storey Single Attached House in Talon Singko Las Pinas City,10800000,4,160,108,https://www.lamudi.com.ph/elegantly-finished-2-storey-single-attached-house-16762926777.html,Talon Singko,Las Piñas,120.99559,14.42093
house,"Modern 2 Car Garage 3 Bedroom Townhouse For Sale in Tandang Sora, Quezon City",8200000,3,112,60,https://www.lamudi.com.ph/modern-2-car-garage-3-bedroom-townhouse-for-sale-i-168309133477.html,Tandang Sora,Quezon City,121.042788,14.6820013
house,FOR SALE Townhouse in Don Antonio Heights Holy Spirit Commonwealth  Quezon City,9888888,3,126,42,https://www.lamudi.com.ph/for-sale-townhouse-in-don-antonio-heights-holy-spi-168861262978.html,Holy Spirit,Quezon City,121.076504,14.687194
house,NEW 3 Bedroom Townhouse For Sale in Don Antonio Heights Commonwealth Quezon City,9888888,3,126,42,https://www.lamudi.com.ph/new-3-bedroom-townhouse-for-sale-in-don-antonio-he-168862259646.html,Commonwealth,Quezon City,121.076504,14.687194
house,Spacious 2 Storey Townhouse for sale in Talon Singko Las Pinas City,6500000,3,140,80,https://www.lamudi.com.ph/spacious-2-storey-townhouse-for-sale-in-talon-sing-167629327772.html,Talon Singko,Las Piñas,120.99559,14.42093
house,Elegantly finished 2 storey townhouse in talon singko las pinas city,9500000,4,180,103,https://www.lamudi.com.ph/elegantly-finished-2-storey-townhouse-in-talon-sin-167629417513.html,Talon Singko,Las Piñas,120.99559,14.42093
house,Newly Built 2 Storey townhouse in BF Resort Village Las Pinas City,11500000,4,200,125,https://www.lamudi.com.ph/newly-built-2-storey-townhouse-in-bf-resort-villag-16762899245.html,Talon Dos,Las Piñas,120.99425,14.43276
house,Brand New House and Lot with Accessible Location Going to Daang Hari,6500000,3,150,100,https://www.lamudi.com.ph/brand-new-house-and-lot-with-accessible-location-g-16835351188.html,Molino III,Bacoor,120.9777822,14.3981207
house,3 Garage 4BR Townhouse For Sale in Tandang Sora Quezon City Nr Mindanao Avenue,9750000,4,148,58,https://www.lamudi.com.ph/3-garage-4br-townhouse-for-sale-in-tandang-sora-qu-168861382199.html,Tandang Sora,Quezon City,121.042788,14.6820013
house,Elegantly finished 2 storey townhouse in moonwalk village las pinas city,6000000,3,120,60,https://www.lamudi.com.ph/elegantly-finished-2-storey-townhouse-in-moonwalk-167629470675.html,Talon Singko,Las Piñas,120.99559,14.42093
