Category,Title,Price,Region,Bedrooms,Floor Area,Lot Area,URL,Image Link,Barangay,Town/City,Longitude,Latitude
house,Brand New Single House And Lot In BF Resort With Roof Deck And CCTV Included,11800000,Metro Manila,4,222,96,https://www.lamudi.com.ph/brand-new-single-house-and-lot-in-bf-resort-with-r-168249319118.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/11b6f0df3f7675.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,"2 Storey Spacious Townhouse For Sale in BF Resort Village, Las Piñas City",8800000,Metro Manila,4,189,120,https://www.lamudi.com.ph/2-storey-spacious-townhouse-for-sale-in-bf-resort-168449004178.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/95c5bca8252bdd.webp,Talon Dos,Las Piñas,120.99425,14.43278
house,Reasonable price brand new single attached house in Pilar Village Las Pinas,7200000,Metro Manila,4,128,120,https://www.lamudi.com.ph/reasonable-price-brand-new-single-attached-house-i-167888887945.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/818f851b3ec41f.webp,Pilar,Las Piñas,121.00894,14.42465
house,Spectacular PRIME LOCATION Modern 3 Storey house and lot For Sale in Pilar Villa,10758000,Metro Manila,4,216,105,https://www.lamudi.com.ph/spectacular-prime-location-modern-3-storey-house-and-lot-for-sale-in-pilar-villa-1.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/12fb2040abdfbc.webp,Pilar,Las Piñas,121.0080137,14.417168
house,Brand New House And Lot In Bf Resort With Modern Design,9650000,Metro Manila,4,120,85,https://www.lamudi.com.ph/brand-new-house-and-lot-in-bf-resort-with-modern-d-168111740797.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a4be86b5a98bb9.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,6 Bedrooms Elegantly Finished 2 Storey Single Attached House For Sale in BF Reso,18500000,Metro Manila,6,295,180,https://www.lamudi.com.ph/6-bedrooms-elegantly-finished-2-storey-single-atta-16795510188.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/922cb8d5f0b41a.webp,Talon Dos,Las Piñas,120.99425,14.43276
house,Elegantly Finished 2 Storey Single Attached House in Talon Singko Las Pinas City,10800000,Metro Manila,4,160,108,https://www.lamudi.com.ph/elegantly-finished-2-storey-single-attached-house-16762926777.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/d580a68b8ae36e.webp,Talon Singko,Las Piñas,120.99559,14.42093
house,"Modern 2 Car Garage 3 Bedroom Townhouse For Sale in Tandang Sora, Quezon City",8200000,Metro Manila,3,112,60,https://www.lamudi.com.ph/modern-2-car-garage-3-bedroom-townhouse-for-sale-i-168309133477.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/2594d4cd8d6d56.webp,Tandang Sora,Quezon City,121.042788,14.6820013
house,FOR SALE Townhouse in Don Antonio Heights Holy Spirit Commonwealth  Quezon City,9888888,Metro Manila,3,126,42,https://www.lamudi.com.ph/for-sale-townhouse-in-don-antonio-heights-holy-spi-168861262978.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/024ef14d23769f.webp,Holy Spirit,Quezon City,121.076504,14.687194
house,NEW 3 Bedroom Townhouse For Sale in Don Antonio Heights Commonwealth Quezon City,9888888,Metro Manila,3,126,42,https://www.lamudi.com.ph/new-3-bedroom-townhouse-for-sale-in-don-antonio-he-168862259646.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/9606a9c4bdd8cc.webp,Commonwealth,Quezon City,121.076504,14.687194
house,Spacious 2 Storey Townhouse for sale in Talon Singko Las Pinas City,6500000,Metro Manila,3,140,80,https://www.lamudi.com.ph/spacious-2-storey-townhouse-for-sale-in-talon-sing-167629327772.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/85f90192ec2592.webp,Talon Singko,Las Piñas,120.99559,14.42093
house,Elegantly finished 2 storey townhouse in talon singko las pinas city,9500000,Metro Manila,4,180,103,https://www.lamudi.com.ph/elegantly-finished-2-storey-townhouse-in-talon-sin-167629417513.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/111517df6abad9.webp,Talon Singko,Las Piñas,120.99559,14.42093
house,Newly Built 2 Storey townhouse in BF Resort Village Las Pinas City,11500000,Metro Manila,4,200,125,https://www.lamudi.com.ph/newly-built-2-storey-townhouse-in-bf-resort-villag-16762899245.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/e3e9a7c103309a.webp,Talon Dos,Las Piñas,120.99425,14.43276
house,Brand New House and Lot with Accessible Location Going to Daang Hari,6500000,Cavite,3,150,100,https://www.lamudi.com.ph/brand-new-house-and-lot-with-accessible-location-g-16835351188.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/14eb6676ca39e4.webp,Molino III,Bacoor,120.9777822,14.3981207
house,3 Garage 4BR Townhouse For Sale in Tandang Sora Quezon City Nr Mindanao Avenue,9750000,Metro Manila,4,148,58,https://www.lamudi.com.ph/3-garage-4br-townhouse-for-sale-in-tandang-sora-qu-168861382199.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/1be4f13b586c5b.webp,Tandang Sora,Quezon City,121.042788,14.6820013
house,Elegantly finished 2 storey townhouse in moonwalk village las pinas city,6000000,Metro Manila,3,120,60,https://www.lamudi.com.ph/elegantly-finished-2-storey-townhouse-in-moonwalk-167629470675.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/1123a16212c6e1.webp,Talon Singko,Las Piñas,120.99559,14.42093
house,Commercial Residential Single detached House for sale in Kingspoint Subd. Q.C,23000000,Metro Manila,3,220,219,https://www.lamudi.com.ph/commercial-residential-single-detached-house-for-s-168759244583.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/77d71ccf6687a4.webp,Novaliches,Quezon City,121.0521,14.7214
house,Semi Furnished New Townhouse for Sale in West Fairview Commonwealth Quezon City,13000000,Metro Manila,3,180,95,https://www.lamudi.com.ph/2-car-garage-townhouse-for-sale-in-tandang-sora-commonwealth-quezon-city.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/7c9a51cfb99a7d.webp,Fairview,Quezon City,121.06821,14.702178
house,"150sqm Lot Customized Single Detached House and Lot For Sale in Greenview, Q.C",13000000,Metro Manila,5,150,150,https://www.lamudi.com.ph/150sqm-lot-customized-single-detached-house-and-lot-for-sale-in-greenview-q-c.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/0fd49c37ee64e4.webp,Fairview,Quezon City,121.049276,14.695099
house,3 Car Garage 4BR Townhouse for sale in Tandang Sora Quezon City Mindanao Avenue,9850000,Metro Manila,4,150,58,https://www.lamudi.com.ph/3-car-garage-4br-townhouse-for-sale-in-tandang-sor-16910293051.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/d5821cc217a97a.webp,Tandang Sora,Quezon City,121.042788,14.6820013
house,Affordable Townhouse for sale in Teachers Village Diliman Quezon City nr UP NEW,12900000,Metro Manila,3,130,48,https://www.lamudi.com.ph/affordable-townhouse-for-sale-in-teachers-village-169172578452.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/54111e2cb896bc.webp,Teachers Village West,Quezon City,121.055725,14.644333
house,Pre-owned Spacious Bungalow House in BF Resort Village Las Piñas City,12000000,Metro Manila,3,200,236,https://www.lamudi.com.ph/pre-owned-spacious-bungalow-house-in-bf-resort-vil-168473686183.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ac5c28ac109741.webp,Talon Uno,Las Piñas,120.98468,14.44506
house,2 Storey Mediterranean House For Sale in BF Resort Village Las Piñas City,8500000,Metro Manila,3,140,88,https://www.lamudi.com.ph/2-storey-mediterranean-house-for-sale-in-bf-resort-168473698060.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/e49e2f53da7795.webp,Talon Uno,Las Piñas,120.99425,14.43278
house,4 Car Garage High Ceiling Spacious Bungalow House For Sale in Pilar Village,15500000,Metro Manila,5,260,280,https://www.lamudi.com.ph/4-car-garage-high-ceiling-spacious-bungalow-house-168473759429.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ea5dbfc773c2c2.webp,Pilar,Las Piñas,121.01301,14.42922
house,For Sale Corner Duplex House Spacious And Modern Design In Pilar Village,11358000,Metro Manila,4,200,93,https://www.lamudi.com.ph/for-sale-corner-duplex-house-spacious-and-modern-d-169146588375.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/532c164c8e4559.webp,Talon Singko,Las Piñas,120.996723,14.422561
house,Spacious Single Attached House For Sale in Pilar Village Las Piñas,10600000,Metro Manila,4,186,130,https://www.lamudi.com.ph/spacious-single-attached-house-for-sale-in-pilar-v-168473669978.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/6139f14153aa46.webp,Pilar,Las Piñas,121.01301,14.42922
house,"4 Car Garage, Spacious Single Attached House For Sale in Pilar Village Las Piñas",17500000,Metro Manila,4,269,280,https://www.lamudi.com.ph/4-car-garage-spacious-single-attached-house-for-sa-168473659328.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/f8f3f54f3677a8.webp,Pilar,Las Piñas,121.01301,14.42922
house,Prime Location Spacious 2 Storey Single Attached House in Pilar Village,16800000,Metro Manila,7,300,240,https://www.lamudi.com.ph/prime-location-spacious-2-storey-single-attached-h-168473752566.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/5b856262bd9869.webp,Pilar,Las Piñas,121.01301,14.42922
house,Newly Construct 2 Storey Single Attached House For Sale in Pilar Village,12000000,Metro Manila,3,150,140,https://www.lamudi.com.ph/newly-construct-2-storey-single-attached-house-for-168473745963.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/561a916df9934a.webp,Pilar,Las Piñas,121.01301,14.42922
house,"2 Storey House and Lot for Sale near Tagaytay, Nasugbu, Batangas",7604556,Batangas,3,90,139,https://www.lamudi.com.ph/2-storey-house-and-lot-for-sale-near-tagaytay-nasu-169108907813.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/2af1da478161b3.webp,Kaylaway,Nasugbu,120.810579,14.0778507
house,"For Sale Modern Bungalow House in Bf Resort Village, Las Piñas City",11000000,Metro Manila,4,165,180,https://www.lamudi.com.ph/for-sale-modern-bungalow-house-in-bf-resort-villag-168371617053.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/c5682e39aef161.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,5 Bedrooms With Double Height Ceiling House In Bf Resort Village Las Pinas,11500000,Metro Manila,4,200,125,https://www.lamudi.com.ph/5-bedrooms-with-double-height-ceiling-house-in-bf-168389923122.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/3d2fc1607ddf62.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,Corner Modern Design Bungalow House in Pilar Village Las Pinas,8500000,Metro Manila,3,100,127,https://www.lamudi.com.ph/corner-modern-design-bungalow-house-in-pilar-villa-168423914396.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a9681b24b1aab8.webp,Pilar,Las Piñas,121.01301,14.42922
house,Newly Built Modern Bungalow House in BF Resort Village Las Piñas City,11500000,Metro Manila,3,120,180,https://www.lamudi.com.ph/newly-built-modern-bungalow-house-in-bf-resort-vil-168067424984.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/16e3fb75333d0a.webp,Talon Uno,Las Piñas,120.985214,14.438526
house,"Newly Built Single Attached House For Sale in San Antonio, Las Piñas City",10000000,Metro Manila,4,128,150,https://www.lamudi.com.ph/newly-built-single-attached-house-for-sale-in-san-168363085213.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/e89e71f010f561.webp,Talon Kuatro,Las Piñas,120.9997847,14.4371254
house,Spacious Bungalow House and Lot for Sale in BF Almanza Las Piñas City,14900000,Metro Manila,4,250,296,https://www.lamudi.com.ph/spacious-bungalow-house-and-lot-for-sale-in-bf-alm-16873255227.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/177af9dd34474b.webp,Almanza Dos,Las Piñas,121.0078767,14.4023926
house,"Spacious Bungalow House and Lot For Sale in BF Almanza, Las Piñas City",17200000,Metro Manila,4,200,285,https://www.lamudi.com.ph/spacious-bungalow-house-and-lot-for-sale-in-bf-alm-168371638732.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/81122b349eb26f.webp,Almanza Dos,Las Piñas,121.0078767,14.4023926
house,2 Storey Spacious Townhouse For Sale in BF Resort Village Las Pinas City,8800000,Metro Manila,4,189,120,https://www.lamudi.com.ph/2-storey-spacious-townhouse-for-sale-in-bf-resort-167955091257.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ba0d81b4dc0cef.webp,Talon Dos,Las Piñas,120.99425,14.43276
house,Brand New Townhouse near Dona Soledad Ave. with Peaceful Neighborhood,10057000,Metro Manila,3,126,77,https://www.lamudi.com.ph/brand-new-house-nad-lot-near-dona-soledad-ave-with-166692436434.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/979454ec5a52fd.webp,Don Bosco,Parañaque,121.024909,14.482705
house,Perfect Family Home For Sale in Angela Village Las Piñas City,10000000,Metro Manila,4,280,204,https://www.lamudi.com.ph/perfect-family-home-for-sale-in-angela-village-las-pinas-city-6.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/01f43694410867.webp,Talon Kuatro,Las Piñas,120.9997847,14.4371254
house,"Impressive Modern House and Lot For Sale in BF Homes, Las Piñas",13500000,Metro Manila,4,155,179,https://www.lamudi.com.ph/impressive-modern-house-and-lot-for-sale-in-bf-homes-las-pinas-16.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/02529fcadde822.webp,B.F. International Village,Las Piñas,121.0061146,14.4508188
house,2 Storey Well Maintained Single Attached House in Las Pinas city,10000000,Metro Manila,4,280,204,https://www.lamudi.com.ph/2-storey-well-maintained-single-attached-house-in-167629216549.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/6b27ba64d65589.webp,Talon Kuatro,Las Piñas,121.00013,14.43739
house,5 BEDROOMS WITH DOUBLE HEIGHT CEILING HOUSE IN BF RESORT VILLAGE LAS PINAS,11500000,Metro Manila,4,200,125,https://www.lamudi.com.ph/5-bedrooms-with-double-height-ceiling-house-in-bf-168422160586.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/54fc64f3b1917f.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,Newly Renovated Modern Bungalow House in Talon Dos Las Piñas City,10000000,Metro Manila,3,100,255,https://www.lamudi.com.ph/newly-renovated-modern-bungalow-house-in-talon-dos-168248141882.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ba242bc33282b9.webp,Talon Uno,Las Piñas,120.985214,14.438526
house,2 Storey brand New Modern Design in Las Pinas City near Moonwalk,7600000,Metro Manila,4,130,115,https://www.lamudi.com.ph/2-storey-brand-new-modern-design-in-las-pinas-city-168240985592.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/88148d1202dac6.webp,Talon Singko,Las Piñas,120.996723,14.422561
house,Modern Bungalow House In Bf Resort Village Las Piñas City,11000000,Metro Manila,4,165,180,https://www.lamudi.com.ph/modern-bungalow-house-in-bf-resort-village-las-pi-168362398777.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/cab5c1b33b6763.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,6 BEDROOMS WITH DOUBLE HEIGHT CEILING HOUSE IN BF RESORT VILLAGE LAS PINAS,18500000,Metro Manila,5,295,180,https://www.lamudi.com.ph/6-bedrooms-with-double-height-ceiling-house-in-bf-168422062668.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/d61e5e09c07e8c.webp,Talon Dos,Las Piñas,120.985214,14.438526
house,Ready For Occupancy Single Detached House In Pilar Village Las Pinas City,7200000,Metro Manila,4,126,120,https://www.lamudi.com.ph/ready-for-occupancy-single-detached-house-in-pilar-168068840776.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/1142d22ea41a0c.webp,Pilar,Las Piñas,121.0080137,14.417168
house,2 Storey 4 Bedrooms House for Sale in Gatchalian 2 Las Piñas near C5 Extension,7300000,Metro Manila,3,135,69,https://www.lamudi.com.ph/2-storey-4-bedrooms-house-for-sale-in-gatchalian-2-168247991361.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/130545df827314.webp,Manuyo Dos,Las Piñas,120.987483,14.461456
house,2 Storey brand new modern design townhouse for sale in Pilar Village Las Pinas,6899000,Metro Manila,3,101,81,https://www.lamudi.com.ph/2-storey-brand-new-modern-design-townhouse-for-sal-167888812747.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a0668eb5c2a3cb.webp,Pilar,Las Piñas,121.01301,14.42922
house,Reasonable price For Sale Townhouse in Angela Village Las Pinas City,3900000,Metro Manila,2,80,55,https://www.lamudi.com.ph/reasonable-price-for-sale-townhouse-in-angela-vill-167629190648.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/04c3b050295fe1.webp,Talon Kuatro,Las Piñas,121.00013,14.43739
house,Well Maintained Bungalow Split Level House and Lot in Merville Parañaque,45000000,Metro Manila,6,440,504,https://www.lamudi.com.ph/well-maintained-bungalow-split-level-house-and-lot-166692536932.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/58a5f00baaa09d.webp,Merville,Parañaque,121.025633,14.499387
